target	model	family	eligibility_status	quality_complete	accuracy	translation	embedding	rerank	asr	ocr	general_ability	conditioned	long_context	scenarios	conversation_drift
intel-win-x86	bge-base-en-v1.5-igpu-intel-win	embedding	feasible	True	not_applicable	not_applicable	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	bge-m3-amd-linux	embedding	feasible	True	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	bge-m3-intel-win	embedding	feasible	True	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	bge-reranker-base-igpu-intel-win	reranker	feasible	True	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	bge-reranker-base-intel-win	reranker	feasible	True	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	bge-reranker-v2-m3-intel-win	reranker	feasible	True	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	llama3.2-1b-amd-linux	llm	feasible	True	measured	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable
intel-win-x86	llama3.2-1b-intel-win	llm	feasible	True	measured	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	llama3.2-3b-amd-linux	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	llava-7b-amd-linux	vlm	feasible	True	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	llava-7b-intel-win	vlm	feasible	True	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	minicpm-v-8b-amd-linux	vlm	feasible	True	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable
amd-linux-x86	paddleocr-amd-linux	ocr	platform_blocked	False	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	skipped	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	paddleocr-openvino-intel-win	ocr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	phi-3.5-mini-amd-linux	llm	feasible	True	measured	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable
intel-win-x86	phi-3.5-mini-intel-win	llm	cpu_only_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen2.5-0.5b-amd-linux	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen2.5-0.5b-amd-linux-onnx	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen2.5-0.5b-intel-win	llm	cpu_only_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	qwen2.5-1.5b-amd-linux	llm	feasible	True	measured	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	warning	not_applicable	not_applicable
intel-win-x86	qwen2.5-1.5b-igpu-intel-win	llm	feasible	True	measured	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	warning	not_applicable	not_applicable
intel-win-x86	qwen2.5-1.5b-intel-win	llm	feasible	True	measured	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	qwen2.5-3b-amd-linux	llm	feasible	True	measured	failed	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	failed	not_applicable	not_applicable
intel-win-x86	qwen2.5-3b-intel-win	llm	cpu_only_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen2.5-3b-reranker-amd-linux	reranker	feasible	True	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	qwen2.5-7b-amd-linux	llm	feasible	True	measured	failed	not_applicable	not_applicable	not_applicable	not_applicable	passed	not_applicable	warning	not_applicable	not_applicable
intel-win-x86	qwen2.5-7b-igpu-intel-win	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen2.5-7b-intel-win	llm	cpu_only_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen2.5-7b-reranker-amd-linux	reranker	feasible	True	not_applicable	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	qwen2.5-coder-0.5b-igpu-intel-win	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen3-0.6b-amd-linux	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen3-0.6b-igpu-intel-win	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen3-0.6b-intel-win	llm	cpu_only_blocked	False	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen3-1.7b-amd-linux	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen3-1.7b-igpu-intel-win	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen3-1.7b-intel-win	llm	cpu_only_blocked	False	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen3-4b-amd-linux	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen3-4b-igpu-intel-win	llm	runtime_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
intel-win-x86	qwen3-4b-intel-win	llm	cpu_only_blocked	False	missing	missing	not_applicable	not_applicable	not_applicable	not_applicable	missing	not_applicable	missing	not_applicable	not_applicable
amd-linux-x86	qwen3-embedding-0.6b-amd-linux	embedding	feasible	True	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
intel-win-x86	qwen3-embedding-0.6b-intel-win	embedding	feasible	True	not_applicable	not_applicable	passed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
amd-linux-x86	rapidocr-amd-linux	ocr	feasible	True	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	failed	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable
